AtomicUnitID,LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
HBA-DG008-00001,1,TYPES.md is the authoritative vocabulary reference for the Chirality project execution system.,@repo/docs/TYPES.md:L3|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-DG008-0001,e1b737258fab,IN,SEC-DG008-0001,UNIT-DG008-0001,,
HBA-DG008-00002,2,"TYPES.md defines canonical entities, stable identifier formats, enumerated types, agent roles, and lifecycle states.",@repo/docs/TYPES.md:L3|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-DG008-0001,2190407e41e2,IN,SEC-DG008-0001,UNIT-DG008-0001,,
HBA-DG008-00003,3,All agents and governance documents use the terms defined in TYPES.md.,@repo/docs/TYPES.md:L5|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-DG008-0001,9874a5aceec1,IN,SEC-DG008-0001,UNIT-DG008-0001,,
HBA-DG008-00004,4,"When a term is used differently elsewhere, TYPES.md governs.",@repo/docs/TYPES.md:L5|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-DG008-0001,a648f853d250,IN,SEC-DG008-0001,UNIT-DG008-0001,,
HBA-DG008-00005,5,The project hierarchy is flat: packages contain deliverables.,@repo/docs/TYPES.md:L11|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-DG008-0002,650b24ee59db,IN,SEC-DG008-0002,UNIT-DG008-0001,,
HBA-DG008-00006,6,"The project hierarchy has no phases, sub-packages, or task sub-levels within deliverables.",@repo/docs/TYPES.md:L11|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-DG008-0002,4eb0b5d87732,IN,SEC-DG008-0002,UNIT-DG008-0001,,
HBA-DG008-00007,7,Package folders live directly under EXECUTION_ROOT using `PKG-XX_{PkgLabel}`.,@repo/docs/TYPES.md:L15|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-DG008-0002,fa20bca54baf,IN,SEC-DG008-0002,UNIT-DG008-0001,,
HBA-DG008-00008,8,Deliverable folders live under `{PKG}/1_Working/` using `DEL-XX-YY_{DelLabel}`.,@repo/docs/TYPES.md:L17|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-DG008-0002,cfd2a88e7fd3,IN,SEC-DG008-0002,UNIT-DG008-0001,,
HBA-DG008-00009,9,A package is a flat partition of project scope.,@repo/docs/TYPES.md:L22|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-DG008-0003,18402df2d094,IN,SEC-DG008-0003,UNIT-DG008-0001,,
HBA-DG008-00010,10,Packages do not nest.,@repo/docs/TYPES.md:L22|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-DG008-0003,54e3830dd470,IN,SEC-DG008-0003,UNIT-DG008-0001,,
