AtomicUnitID,SourceDoc,SourcePrefix,LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
HBA-RT001-00001,SRC-AGENTS,RT001,1,AGENTS.md indexes the agent suite.,@repo/AGENTS.md:L0003|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0001,2b62113cbd03,IN,SEC-RT001-0001,UNIT-RT001-0001,,
HBA-RT001-00002,SRC-AGENTS,RT001,2,docs/TYPES.md section 4 defines classification semantics for the agent suite.,@repo/AGENTS.md:L0003|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0001,5fc82aeb3bec,IN,SEC-RT001-0001,UNIT-RT001-0001,,
HBA-RT001-00003,SRC-AGENTS,RT001,3,docs/DBM_Agent_Instruction_Architecture.md provides the full design basis for the agent suite.,@repo/AGENTS.md:L0003|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0001,a9f9d8904df0,IN,SEC-RT001-0001,UNIT-RT001-0001,,
HBA-RT001-00004,SRC-AGENTS,RT001,4,Agent instruction files use AGENT_* filenames.,@repo/AGENTS.md:L0005|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0001,79101355ff45,IN,SEC-RT001-0001,UNIT-RT001-0001,,
HBA-RT001-00005,SRC-AGENTS,RT001,5,Agents use the role name as the agent name.,@repo/AGENTS.md:L0005|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0001,75c5cba26572,IN,SEC-RT001-0001,UNIT-RT001-0001,,
HBA-RT001-00006,SRC-AGENTS,RT001,6,Agent instruction files are stored in agents/.,@repo/AGENTS.md:L0005|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0001,95bbaa78c35d,IN,SEC-RT001-0001,UNIT-RT001-0001,,
HBA-RT001-00007,SRC-AGENTS,RT001,7,Agent Matrix rows describe epistemic posture.,@repo/AGENTS.md:L0011|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0002,f261fa42f8a5,IN,SEC-RT001-0002,UNIT-RT001-0001,,
HBA-RT001-00008,SRC-AGENTS,RT001,8,Agent Matrix columns describe functional role.,@repo/AGENTS.md:L0011|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0002,68388219ed30,IN,SEC-RT001-0002,UNIT-RT001-0001,,
HBA-RT001-00009,SRC-AGENTS,RT001,9,NORMATIVE and EVALUATIVE rows open in WORKBENCH interactive mode.,@repo/AGENTS.md:L0011|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0002,da7747dfae71,IN,SEC-RT001-0002,UNIT-RT001-0001,,
HBA-RT001-00010,SRC-AGENTS,RT001,10,The OPERATIVE row opens in PIPELINE task-execution mode.,@repo/AGENTS.md:L0011|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0002,7d12dbf0ef7a,IN,SEC-RT001-0002,UNIT-RT001-0001,,
