LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,Deliverable DEL-02-03 is named the Code-neutral analysis boundary model.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L8|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0004",2c04897fb79f,IN,SEC-ED015-0004,UNIT-ED015-0001,,
2,"DEL-02-03 belongs to package PKG-02 Domain Model, Units, and Core Schemas.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L9|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0004",71ebb41d9881,IN,SEC-ED015-0004,UNIT-ED015-0001,,
3,DEL-02-03 deliverable type is DATA_MODEL_CHANGE.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L10|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0004",4a673f685eb4,IN,SEC-ED015-0004,UNIT-ED015-0001,,
4,DEL-02-03 maps to scope item SOW-002.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L11|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0004",a62fd0d0bd97,IN,SEC-ED015-0004,UNIT-ED015-0001,,
5,DEL-02-03 supports objectives OBJ-001 and OBJ-011.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L12|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0004",4e0e36895283,IN,SEC-ED015-0004,UNIT-ED015-0001,,
6,DEL-02-03 anticipated artifacts are an analysis_status enum and a docs/SPEC.md state model.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L13|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0004",b28959ecde39,IN,SEC-ED015-0004,UNIT-ED015-0001,,
7,"The boundary purpose is to separate mechanics solve, user-supplied rule-pack check, and project-specific human professional acceptance.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L20|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0005",6b760d9ba935,IN,SEC-ED015-0005,UNIT-ED015-0001,,
8,Code-neutral scope means the solver computes mechanics while user-supplied rule packs evaluate acceptability.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L21|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0005",ef6608bb49b6,IN,SEC-ED015-0005,UNIT-ED015-0001,,
9,"Public artifacts must not contain protected standards text, tables, examples, code-derived formulas, allowables, SIF/flexibility tables, or proprietary commercial data.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L22|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0005",7e2e3d44c69f,IN,SEC-ED015-0005,UNIT-ED015-0001,,
10,"The status vocabulary basis is MODEL_INCOMPLETE, MECHANICS_SOLVED, RULE_INPUTS_INCOMPLETE, USER_RULE_CHECKED, USER_RULE_FAILED, HUMAN_REVIEW_REQUIRED, and HUMAN_APPROVED_FOR_PROJECT.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L23|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0005",38d2880406aa,IN,SEC-ED015-0005,UNIT-ED015-0001,,
11,CODE_COMPLIANT must not be used as an automatic software status.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L24|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0005",e4716f6495fd,IN,SEC-ED015-0005,UNIT-ED015-0001,,
12,"Authority levels are software finding, solver result only, rule-pack finding, software computation using user data, always-required professional review, and human record only.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L25|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0005",8ea33736855c,IN,SEC-ED015-0005,UNIT-ED015-0001,,
13,"Commands, queries, jobs, reproducibility metadata, diagnostics, and result envelopes must preserve the mechanics/rule/human distinction.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L26|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0005",9117adac0802,IN,SEC-ED015-0005,UNIT-ED015-0001,,
14,"Diagnostics and result envelopes carry code, class, severity, source, affected object, message, remediation, and provenance.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L27|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0005",47c3c0135360,IN,SEC-ED015-0005,UNIT-ED015-0001,,
15,Public schemas and interchange use JSON Schema 2020-12 where schema artifacts are produced.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L28|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0005",efe7d815bb96,IN,SEC-ED015-0005,UNIT-ED015-0001,,
16,Human acceptance records bind to specific model/rule/report hashes and do not survive content changes without re-review.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L29|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0005",7f442d93a551,IN,SEC-ED015-0005,UNIT-ED015-0001,,
17,"The model applies only to the semantic and data-interface boundary for DEL-02-03; it does not implement numerical solving, rule-pack evaluation, GUI views, reports, or human-acceptance workflow screens.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L33|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0006",c9b17eaee51c,IN,SEC-ED015-0006,UNIT-ED015-0001,,
18,"Missing solve-required or rule-check-required values must be explicit findings, not silent defaults.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L34|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0006",7aa93f405501,IN,SEC-ED015-0006,UNIT-ED015-0001,,
19,"A mechanics-only solve may exist before a rule-pack check, but it must not be represented as a code pass/fail state.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/Datasheet.md:L35|_Decomposition/source_review_html/SRC-DEL-DEL-02-03-CODE-NEUTRAL-ANALYSIS-BOUNDARY-MODEL.html#SEC-ED015-0006",f1be59d8983b,IN,SEC-ED015-0006,UNIT-ED015-0001,,
