LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,"YAML front matter: doc_id OPS-SOFTWARE-DECOMP, doc_kind decomposition.software, revision 0.7, governed_by OPS-CONTRACT.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L1|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0002,3909871a49a6,OUT,SEC-EG001-0002,UNIT-EG001-0001,,Metadata block; not a technical claim.
2,"OpenPipeStress is a proposed free/open-source, code-neutral piping stress analysis platform implementing open global piping flexibility mechanics with a GUI and reporting workflow.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L21|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0004,d7935b2deeb3,IN,SEC-EG001-0004,UNIT-EG001-0001,,
3,"OpenPipeStress requires users to supply governing code data, material properties, component data, SIFs/flexibility factors, allowables, and rule-pack checks.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L21|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0004,20c42e3e674e,IN,SEC-EG001-0004,UNIT-EG001-0001,,
4,The decomposition incorporates a formal SOFTWARE_DECOMP review against PRD.md and INTENT.md plus the v0.3 architecture-runway amendment accepted by the human project authority on 2026-04-30 as the current downstream basis.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L23|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0004,8d9b402f0c4a,IN,SEC-EG001-0004,UNIT-EG001-0001,,
5,"The v0.3 amendment adds PKG-00 Software Architecture Runway as a pre-workflow gate defining the product/software spine (GUI, backend, persistence, schemas, diagnostics, APIs, jobs, tests) before Type 2 implementation across PKG-01 through PKG-12.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L25|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0004,d13b3e12938d,IN,SEC-EG001-0004,UNIT-EG001-0001,,
6,"Revision v0.4 records SCA-001, authorizing PKG-00 SEMANTIC_READY content as an architecture-basis candidate for sealed brief injection without treating PKG-00 as ISSUED, and resolves selected stack/runtime/schema/persistence/test TBDs.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L27|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0004,96068e034455,IN,SEC-EG001-0004,UNIT-EG001-0001,,
7,"Revision v0.5 records SCA-002, admitting OpenPipeStress_PRD_v0.2 as the working basis for a schema-backed piping design engine and stress-model authoring environment, adding coverage for physical design knowledge, constraints, model operations, immutable model states, analysis runs, comparison, handoff, and external-prover boundaries.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L29|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0004,8fbb83d9a32e,IN,SEC-EG001-0004,UNIT-EG001-0001,,
8,"Revision v0.6 records SCA-003, resolving the MVP physical package/container decision as a local SQLite-backed project store and index profile with rebuildable retrieval sidecars, preserving JSON Schema 2020-12, JCS-compatible hashes, deterministic round-trip, local-first privacy, and no-bypass boundaries.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L31|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0004,addc6178c4b7,IN,SEC-EG001-0004,UNIT-EG001-0001,,
9,"Revision v0.7 records SCA-004, adding PKG-17 Export Format Interoperability and making deterministic export packages, profiles, stable ID maps, loss reports, CAEPIPE MBF validation, stress-neutral CSV/JSON, conservative PCF, GLB/glTF review geometry, and export adapter SDK explicit while preserving no-bundled-solver, no-proprietary-example, no-reverse-engineering, no-license-bypass, and no-compliance-claim constraints.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L33|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0004,4e3347132b85,IN,SEC-EG001-0004,UNIT-EG001-0001,,
10,The decomposition intentionally separates open mechanics from protected standards/code data; mechanics solved from user-rule checked from human professional approval; and global centerline analysis from specialized local FEA handoff.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L37|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0004,722e2d87e529,IN,SEC-EG001-0004,UNIT-EG001-0001,,
11,"Reference list: INTENT.md, PRD.md, MWK 1956.pdf, AGENT_SOFTWARE_DECOMP.md, PROFESSIONAL_ENGINEERING.md, CHIRALITY_FRAMEWORK.md.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L43|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0005,7dbfec5313c7,OUT,SEC-EG001-0005,UNIT-EG001-0001,,"Bibliographic reference list, not a technical claim."
