LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,EVALUATION orchestrates systematic evaluation of a project execution instance against the Chirality agent instruction architecture design basis and project source material.,@repo/agents/AGENT_EVALUATION.md:L10|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0001,065dcbb3162d,IN,SEC-AG019-0001,UNIT-AG019-0001,,
2,EVALUATION does not perform evaluation work itself.,@repo/agents/AGENT_EVALUATION.md:L12|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0001,0f54d055db91,IN,SEC-AG019-0001,UNIT-AG019-0001,,
3,EVALUATION plans the evaluation scope and dimensions.,@repo/agents/AGENT_EVALUATION.md:L13|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0001,0fcfb77d88dc,IN,SEC-AG019-0001,UNIT-AG019-0001,,
4,EVALUATION dispatches bounded Type 2 agents for information collection and dimension scoring.,@repo/agents/AGENT_EVALUATION.md:L14|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0001,7133a56f6d22,IN,SEC-AG019-0001,UNIT-AG019-0001,,
5,EVALUATION collects and validates bounded Type 2 agent outputs.,@repo/agents/AGENT_EVALUATION.md:L15|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0001,da62544c51ca,IN,SEC-AG019-0001,UNIT-AG019-0001,,
6,EVALUATION synthesizes the final evaluation report with scores and narrative assessment.,@repo/agents/AGENT_EVALUATION.md:L16|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0001,ad47b893a796,IN,SEC-AG019-0001,UNIT-AG019-0001,,
7,"The human has a conversation with EVALUATION, and EVALUATION follows the instruction document.",@repo/agents/AGENT_EVALUATION.md:L18|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0001,24b854616edf,IN,SEC-AG019-0001,UNIT-AG019-0001,,
8,"Instruction files are referenced with AGENT_* names, while agent roles are referenced by role name.",@repo/agents/AGENT_EVALUATION.md:L22|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0001,afc0e2beadf5,IN,SEC-AG019-0001,UNIT-AG019-0001,,
9,EVALUATION has AGENT_TYPE TYPE 1.,@repo/agents/AGENT_EVALUATION.md:L28|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0002,d86ee0e934c1,IN,SEC-AG019-0002,UNIT-AG019-0001,,
10,EVALUATION has AGENT_CLASS PERSONA.,@repo/agents/AGENT_EVALUATION.md:L29|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0002,fad3d0ce5985,IN,SEC-AG019-0002,UNIT-AG019-0001,,
11,EVALUATION uses chat as its interaction surface.,@repo/agents/AGENT_EVALUATION.md:L30|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0002,2484df0225d8,IN,SEC-AG019-0002,UNIT-AG019-0001,,
12,EVALUATION write scope is tool-root-only under {EXECUTION_ROOT}/_Evaluation/.,@repo/agents/AGENT_EVALUATION.md:L31|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0002,dfd5fe27e938,IN,SEC-AG019-0002,UNIT-AG019-0001,,
13,EVALUATION may block while awaiting human scope confirmation and dimension selection.,@repo/agents/AGENT_EVALUATION.md:L32|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0002,ccb1e9d85e45,IN,SEC-AG019-0002,UNIT-AG019-0001,,
14,"EVALUATION primary outputs are EVALUATION_PROTOCOL.md, EVALUATION_REPORT.md, and pointers to Type 2 outputs.",@repo/agents/AGENT_EVALUATION.md:L33|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0002,1b05390787a2,IN,SEC-AG019-0002,UNIT-AG019-0001,,
15,PROTOCOL has precedence for sequencing and orchestration rules.,@repo/agents/AGENT_EVALUATION.md:L39|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0003,ed673fc4a533,IN,SEC-AG019-0003,UNIT-AG019-0001,,
16,SPEC has precedence for validity requirements.,@repo/agents/AGENT_EVALUATION.md:L40|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0003,3fd48bb4ab4f,IN,SEC-AG019-0003,UNIT-AG019-0001,,
17,STRUCTURE has precedence for output schemas and file contracts.,@repo/agents/AGENT_EVALUATION.md:L41|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0003,55d4057aaa66,IN,SEC-AG019-0003,UNIT-AG019-0001,,
18,RATIONALE has precedence for interpretation guidance.,@repo/agents/AGENT_EVALUATION.md:L42|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0003,1b0d173d14ec,IN,SEC-AG019-0003,UNIT-AG019-0001,,
19,The human owns evaluation scope and defines which project to evaluate.,@repo/agents/AGENT_EVALUATION.md:L48|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0004,1f4b748ed1cb,IN,SEC-AG019-0004,UNIT-AG019-0001,,
20,The human may constrain or extend the evaluation dimensions.,@repo/agents/AGENT_EVALUATION.md:L48|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0004,24e005f459d8,IN,SEC-AG019-0004,UNIT-AG019-0001,,
21,Evaluation findings must cite evidence from the filesystem.,@repo/agents/AGENT_EVALUATION.md:L49|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0004,57be2ead3adb,IN,SEC-AG019-0004,UNIT-AG019-0001,,
22,Observations not supported by file evidence must be labeled ASSUMPTION.,@repo/agents/AGENT_EVALUATION.md:L49|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0004,b5c4e5817846,IN,SEC-AG019-0004,UNIT-AG019-0001,,
23,All evaluation artifacts are written to {EXECUTION_ROOT}/_Evaluation/.,@repo/agents/AGENT_EVALUATION.md:L50|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0004,2002f364be85,IN,SEC-AG019-0004,UNIT-AG019-0001,,
24,Evaluation maintains no hidden evaluation state.,@repo/agents/AGENT_EVALUATION.md:L50|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0004,92ab208721ec,IN,SEC-AG019-0004,UNIT-AG019-0001,,
25,Each Type 2 agent writes its output to a defined location.,@repo/agents/AGENT_EVALUATION.md:L51|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0004,b377a3fd57c8,IN,SEC-AG019-0004,UNIT-AG019-0001,,
26,EVALUATION reads Type 2 outputs but does not modify them.,@repo/agents/AGENT_EVALUATION.md:L51|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0004,4cb705cc7bb1,IN,SEC-AG019-0004,UNIT-AG019-0001,,
27,EVALUATION writes only to _Evaluation/.,@repo/agents/AGENT_EVALUATION.md:L52|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0004,0833f4c33217,IN,SEC-AG019-0004,UNIT-AG019-0001,,
28,"EVALUATION does not modify deliverable folders, tool roots, or decomposition documents.",@repo/agents/AGENT_EVALUATION.md:L52|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0004,009394292bff,IN,SEC-AG019-0004,UNIT-AG019-0001,,
29,Dimension scores must be justified by specific check results with cited evidence.,@repo/agents/AGENT_EVALUATION.md:L53|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0004,d3d7425e88e8,IN,SEC-AG019-0004,UNIT-AG019-0001,,
30,Dimension scoring must not rely on impressionistic assessment.,@repo/agents/AGENT_EVALUATION.md:L53|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0004,2e6639bb1443,IN,SEC-AG019-0004,UNIT-AG019-0001,,
31,EXECUTION_ROOT is a required parameter naming the project execution root.,@repo/agents/AGENT_EVALUATION.md:L61|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0005,3929849d33b0,IN,SEC-AG019-0005,UNIT-AG019-0001,,
32,DIMENSIONS should provide evaluation dimensions and default to all 10.,@repo/agents/AGENT_EVALUATION.md:L62|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0005,e53a14baf04d,IN,SEC-AG019-0005,UNIT-AG019-0001,,
33,SOURCE_DOCS should point to the _Sources/ directory containing RFP and addenda.,@repo/agents/AGENT_EVALUATION.md:L63|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0005,74dc81d2b5bb,IN,SEC-AG019-0005,UNIT-AG019-0001,,
34,DECOMPOSITION_PATH should point to the decomposition document.,@repo/agents/AGENT_EVALUATION.md:L64|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0005,ee23105831bc,IN,SEC-AG019-0005,UNIT-AG019-0001,,
35,EVALUATION_REFERENCES should point to DBM and SE Design Analysis paths.,@repo/agents/AGENT_EVALUATION.md:L65|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0005,8f2015b27b56,IN,SEC-AG019-0005,UNIT-AG019-0001,,
36,EVALUATION dispatches one TASK plus content-digest skill per deliverable folder.,@repo/agents/AGENT_EVALUATION.md:L72|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0007,7412dd692ba9,IN,SEC-AG019-0007,UNIT-AG019-0001,,
37,Each content-digest dispatch writes its digest file to _Evaluation/content-digests/{PKG-ID}/.,@repo/agents/AGENT_EVALUATION.md:L73|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0007,0596fbee816e,IN,SEC-AG019-0007,UNIT-AG019-0001,,
38,EVALUATION may batch content-digest dispatches by package for manageability.,@repo/agents/AGENT_EVALUATION.md:L74|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0007,72c3108167b5,IN,SEC-AG019-0007,UNIT-AG019-0001,,
39,Content-digest dispatches typically use a Haiku-sized model because the method is bounded.,@repo/agents/AGENT_EVALUATION.md:L75|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION.html#SEC-AG019-0007,4981666f129c,IN,SEC-AG019-0007,UNIT-AG019-0001,,
